ID,SubCategory,NAME,DESCRIPTION,PRICE,CategoryID
1,Bar Back,Sonoma Ladder Bar Back ,"Great to display glassware, spirits or other accent pieces. Includes a pair of ladders, 4 shelves, and the red ""BAR"" lettering ",320,1
2,Bar Back,Six Barrel Bar Back ,"6 wine barrels at 2 rows of three with the ""BAR"" lettering back ground",80,1
3,Bar Back,Marquee Rusted Letters,Decor lettering that complements the bar ,80,1
4,Bar Back,Marquee Red Letters,Decor lettering that complements the bar ,80,1
