ID,SubCategory,NAME,DESCRIPTION,PRICE,CategoryID
1,Misc,Wine Barrels,They're barrels,50,5
2,Misc,Roy & Trigger,A great entrance piece or bar back for a western themed event! 12' x 7' x 4',775,5
3,Misc,Manzanita Tree (Gold),Includes hanging votives,125,5
4,Misc,Movie Marquee Poster Frame,Measures 5” Deep x 36” Wide x 48” Tall. Insert area for poster measures 27”x40”,175,5
5,Misc,Ticket Booth,Measures 48” x 48” x 96 “Tall,450,5
6,Misc,Small silver trees,small silver trees,2,5
