ID,SubCategory,NAME,DESCRIPTION,PRICE,CategoryID
1,Seating,Firepit Bench,Descansa Finish. 2' x 4'x16'',35,3
2,Seating,Descansa Bench Short,7' (short),30,3
3,Seating,Descansa Bench Long,9' (long),30,3
4,Seating,Padded Natural-Wood Bar Stool,30'' tall,10,3
5,Seating,Distressed Gunmetal Bar Stool,30'' tall,14,3
6,Seating,Silver Bistro Chair,Silver metallic chair,10,3
