ID,SubCategory,NAME,DESCRIPTION,PRICE,CategoryID
1,Rope lit cacti,12' Saguaro ,Ropel lit cactus large sahuaro 12',175,4
2,Rope lit cacti,8' Saguaro,Ropel lit cactus small sahuaro 8',125,4
3,Rope lit cacti,6' Prickley Pear,Rope lit cactus prickley pear 6',125,4
4,Rope lit cacti,8' Ocotillo,Rope lit cactus ocotillo 8',125,4
