ID,SubCategory,NAME,DESCRIPTION,PRICE,CategoryID
1,Lighting,Uplight wireless LED light (packages available),Programmable in a variety of colors.,50,4
2,Lighting,Lighting Tree ,Great simple solution to illuminate performers.,175,4
3,Lighting ,Moon Balloon,Available in programmable colors.,625,4
