ID,SubCategory,NAME,DESCRIPTION,PRICE,CategoryID
1,Bar Front,Sonoma Reclaimed Wood Bar Front,"SONOMA RECLAIM WOOD BAR FRONT 33"" X 73"" X 50"". It does not include bar backs",320,1
2,Bar Front,Mahogany Wooden Bar Front,"As shown: 16É?? W, 120É?ù L & 45É?? H. It does not include bar backs",225,1
